"fecha","consumo","festivo","visibility","windBearing","temperature","dewPoint","pressure","apparentTemperature","windSpeed","humidity"
2011-11-28 12:30:00,0.2955,0,12.28,184,8.14,4.06,1023.4,6.54,2.62,0.75
2011-11-28 13:00:00,0.206,0,12.71,190,9.62,4.78,1022.32,8.04,3.03,0.72
2011-11-28 13:30:00,0.156,0,12.71,190,9.62,4.78,1022.32,8.04,3.03,0.72
2011-11-28 14:00:00,0.1405,0,12.89,193,9.96,4.47,1021.38,8.04,3.81,0.69
2011-11-28 14:30:00,0.1795,0,12.89,193,9.96,4.47,1021.38,8.04,3.81,0.69
2011-11-28 15:00:00,0.107,0,13.04,196,9.67,4.71,1020.17,7.72,3.73,0.71
2011-11-28 15:30:00,0.112,0,13.04,196,9.67,4.71,1020.17,7.72,3.73,0.71
2011-11-28 16:00:00,0.2415,0,12.83,191,9.61,4.88,1019.61,7.71,3.63,0.72
2011-11-28 16:30:00,0.1755,0,12.83,191,9.61,4.88,1019.61,7.71,3.63,0.72
2011-11-28 17:00:00,0.199,0,13,185,9.06,4.97,1018.93,7.28,3.17,0.76
2011-11-28 17:30:00,0.2835,0,13,185,9.06,4.97,1018.93,7.28,3.17,0.76
2011-11-28 18:00:00,0.3995,0,13.07,175,9.3,6.14,1018.07,7.3,3.68,0.81
2011-11-28 18:30:00,0.3735,0,13.07,175,9.3,6.14,1018.07,7.3,3.68,0.81
2011-11-28 19:00:00,0.457,0,12.42,184,10.27,7.77,1017.58,10.27,4.35,0.84
2011-11-28 19:30:00,0.361,0,12.42,184,10.27,7.77,1017.58,10.27,4.35,0.84
2011-11-28 20:00:00,0.261,0,8.74,186,11.34,9.38,1017.12,11.34,4.55,0.88
2011-11-28 20:30:00,0.293,0,8.74,186,11.34,9.38,1017.12,11.34,4.55,0.88
2011-11-28 21:00:00,0.3065,0,8.84,191,11.89,10.56,1016.52,11.89,5.06,0.92
2011-11-28 21:30:00,0.245,0,8.84,191,11.89,10.56,1016.52,11.89,5.06,0.92
2011-11-28 22:00:00,0.264,0,8.8,202,12.51,11.11,1015.95,12.51,5.03,0.91
2011-11-28 22:30:00,0.263,0,8.8,202,12.51,11.11,1015.95,12.51,5.03,0.91
